Dataset Summary:
    Label    Count
    _____    _____

    akiec     327 
    bcc       514 
    bkl      1099 
    df        115 
    mel      1113 
    nv       6705 
    vasc      142 

Training data:
    Label    Count
    _____    _____

    akiec     262 
    bcc       411 
    bkl       879 
    df         92 
    mel       890 
    nv       5364 
    vasc      114 

Validation data:
    Label    Count
    _____    _____

    akiec      65 
    bcc       103 
    bkl       220 
    df         23 
    mel       223 
    nv       1341 
    vasc       28 

Training CNN...
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      20 |        4920 |       00:51:56 |       96.88% |       86.07% |       0.0694 |       0.6424 |      1.0000e-04 |
|      20 |        4950 |       00:52:15 |       96.88% |       83.62% |       0.0508 |       0.6561 |      1.0000e-04 |
|      20 |        4980 |       00:52:32 |       90.62% |       83.13% |       0.1684 |       0.6869 |      1.0000e-04 |
|      20 |        5000 |       00:52:39 |       96.88% |              |       0.0613 |              |      1.0000e-04 |
|      21 |        5010 |       00:52:50 |      100.00% |       85.22% |       0.0301 |       0.6613 |      1.0000e-04 |
|      21 |        5040 |       00:53:07 |      100.00% |       84.82% |       0.0230 |       0.6778 |      1.0000e-04 |
|      21 |        5050 |       00:53:10 |       96.88% |              |       0.0982 |              |      1.0000e-04 |
|      21 |        5070 |       00:53:24 |       96.88% |       85.27% |       0.0626 |       0.5655 |      1.0000e-04 |
|      21 |        5100 |       00:53:40 |       96.88% |       83.67% |       0.0715 |       0.6098 |      1.0000e-04 |
|      21 |        5130 |       00:53:57 |       96.88% |       83.82% |       0.0452 |       0.6683 |      1.0000e-04 |
|      21 |        5150 |       00:54:04 |      100.00% |              |       0.0225 |              |      1.0000e-04 |
|      21 |        5160 |       00:54:16 |      100.00% |       84.67% |       0.0046 |       0.6613 |      1.0000e-04 |
|      21 |        5190 |       00:54:36 |       96.88% |       84.62% |       0.0848 |       0.6334 |      1.0000e-04 |
|      21 |        5200 |       00:54:39 |       93.75% |              |       0.0976 |              |      1.0000e-04 |
|      21 |        5220 |       00:54:53 |       96.88% |       83.33% |       0.1892 |       0.7118 |      1.0000e-04 |
|      21 |        5250 |       00:55:11 |       96.88% |       84.32% |       0.1099 |       0.5985 |      1.0000e-04 |
|      22 |        5280 |       00:55:29 |       93.75% |       85.17% |       0.2212 |       0.5303 |      1.0000e-04 |
|      22 |        5300 |       00:55:36 |       93.75% |              |       0.1614 |              |      1.0000e-04 |
|      22 |        5310 |       00:55:46 |       96.88% |       85.47% |       0.0411 |       0.6654 |      1.0000e-04 |
|      22 |        5340 |       00:56:02 |       96.88% |       83.42% |       0.0570 |       0.6365 |      1.0000e-04 |
|      22 |        5350 |       00:56:06 |      100.00% |              |       0.0367 |              |      1.0000e-04 |
|      22 |        5370 |       00:56:19 |       96.88% |       84.77% |       0.0573 |       0.6020 |      1.0000e-04 |
|      22 |        5400 |       00:56:36 |      100.00% |       84.42% |       0.0257 |       0.6276 |      1.0000e-04 |
|      22 |        5430 |       00:56:52 |      100.00% |       85.37% |       0.0298 |       0.6621 |      1.0000e-04 |
|      22 |        5450 |       00:56:59 |      100.00% |              |       0.0076 |              |      1.0000e-04 |
|      22 |        5460 |       00:57:09 |       96.88% |       85.07% |       0.0446 |       0.6080 |      1.0000e-04 |
|      22 |        5490 |       00:57:26 |       93.75% |       84.42% |       0.2186 |       0.6433 |      1.0000e-04 |
|      22 |        5500 |       00:57:29 |       96.88% |              |       0.1179 |              |      1.0000e-04 |
|      23 |        5520 |       00:57:43 |      100.00% |       85.77% |       0.0113 |       0.6604 |      1.0000e-04 |
|      23 |        5550 |       00:57:59 |      100.00% |       84.87% |       0.0155 |       0.6289 |      1.0000e-04 |
|      23 |        5580 |       00:58:16 |      100.00% |       85.27% |       0.0323 |       0.6519 |      1.0000e-04 |
|      23 |        5600 |       00:58:23 |      100.00% |              |       0.0270 |              |      1.0000e-04 |
|      23 |        5610 |       00:58:33 |       96.88% |       85.77% |       0.0876 |       0.6082 |      1.0000e-04 |
|      23 |        5640 |       00:58:49 |       96.88% |       85.27% |       0.0937 |       0.6380 |      1.0000e-04 |
|      23 |        5650 |       00:58:53 |       93.75% |              |       0.1498 |              |      1.0000e-04 |
|      23 |        5670 |       00:59:06 |      100.00% |       86.17% |       0.0099 |       0.5972 |      1.0000e-04 |
|      23 |        5700 |       00:59:23 |       96.88% |       84.32% |       0.0403 |       0.7198 |      1.0000e-04 |
|      23 |        5730 |       00:59:39 |       96.88% |       85.62% |       0.0614 |       0.6803 |      1.0000e-04 |
|      23 |        5750 |       00:59:46 |       93.75% |              |       0.0801 |              |      1.0000e-04 |
|      24 |        5760 |       00:59:56 |       93.75% |       85.07% |       0.1341 |       0.6948 |      1.0000e-04 |
|      24 |        5790 |       01:00:13 |      100.00% |       85.02% |       0.0473 |       0.7397 |      1.0000e-04 |
|      24 |        5800 |       01:00:17 |       96.88% |              |       0.0838 |              |      1.0000e-04 |
|      24 |        5820 |       01:00:30 |      100.00% |       84.72% |       0.0200 |       0.6857 |      1.0000e-04 |
|      24 |        5850 |       01:00:47 |       93.75% |       81.83% |       0.1513 |       0.8073 |      1.0000e-04 |
|      24 |        5880 |       01:01:04 |       93.75% |       83.87% |       0.0908 |       0.7647 |      1.0000e-04 |
|      24 |        5900 |       01:01:11 |       96.88% |              |       0.0462 |              |      1.0000e-04 |
|      24 |        5910 |       01:01:20 |       90.62% |       84.42% |       0.1444 |       0.7759 |      1.0000e-04 |
|      24 |        5940 |       01:01:37 |       96.88% |       86.02% |       0.4212 |       0.6037 |      1.0000e-04 |
|      24 |        5950 |       01:01:41 |       96.88% |              |       0.1181 |              |      1.0000e-04 |
|      24 |        5970 |       01:01:54 |      100.00% |       85.07% |       0.0125 |       0.6287 |      1.0000e-04 |
|      24 |        6000 |       01:02:10 |      100.00% |       85.02% |       0.0281 |       0.6317 |      1.0000e-04 |
|      25 |        6030 |       01:02:27 |       96.88% |       85.82% |       0.0324 |       0.6500 |      1.0000e-04 |
|      25 |        6050 |       01:02:34 |      100.00% |              |       0.0202 |              |      1.0000e-04 |
|      25 |        6060 |       01:02:44 |       93.75% |       84.27% |       0.1230 |       0.6838 |      1.0000e-04 |
|      25 |        6090 |       01:03:01 |      100.00% |       84.27% |       0.0317 |       0.6841 |      1.0000e-04 |
|      25 |        6100 |       01:03:04 |      100.00% |              |       0.0004 |              |      1.0000e-04 |
|      25 |        6120 |       01:03:18 |       93.75% |       84.57% |       0.0859 |       0.8022 |      1.0000e-04 |
|      25 |        6150 |       01:03:35 |       93.75% |       84.67% |       0.3458 |       0.7717 |      1.0000e-04 |
|      25 |        6180 |       01:03:51 |       87.50% |       83.72% |       0.2366 |       0.7343 |      1.0000e-04 |
|      25 |        6200 |       01:03:58 |       93.75% |              |       0.2668 |              |      1.0000e-04 |
|      25 |        6210 |       01:04:08 |       93.75% |       84.37% |       0.1036 |       0.6461 |      1.0000e-04 |
|      25 |        6240 |       01:04:25 |       96.88% |       83.72% |       0.0542 |       0.6501 |      1.0000e-04 |
|      25 |        6250 |       01:04:35 |       93.75% |       86.17% |       0.0885 |       0.6055 |      1.0000e-04 |
|======================================================================================================================|
Training finished: Max epochs completed.
Training completed in 67.80 minutes

=== RESULTS ===
Overall Accuracy: 88.02 %

Per-Class Metrics:
akiec - Recall: 50.77%, Precision: 80.49%
bcc - Recall: 86.41%, Precision: 78.76%
bkl - Recall: 84.09%, Precision: 76.45%
df - Recall: 78.26%, Precision: 81.82%
mel - Recall: 60.99%, Precision: 77.71%
nv - Recall: 95.23%, Precision: 92.67%
vasc - Recall: 89.29%, Precision: 78.12%
Training and evaluation complete!
