Dataset Summary:
    Label    Count
    _____    _____

    akiec     327 
    bcc       514 
    bkl      1099 
    df        115 
    mel      1113 
    nv       6705 
    vasc      142 

Training data:
    Label    Count
    _____    _____

    akiec     262 
    bcc       411 
    bkl       879 
    df         92 
    mel       890 
    nv       5364 
    vasc      114 

Validation data:
    Label    Count
    _____    _____

    akiec      65 
    bcc       103 
    bkl       220 
    df         23 
    mel       223 
    nv       1341 
    vasc       28 

Training CNN...
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       5 |        1150 |       00:14:57 |       84.38% |              |       0.2667 |              |      1.0000e-04 |
|       5 |        1170 |       00:15:11 |       84.38% |       79.98% |       0.4528 |       0.6585 |      1.0000e-04 |
|       5 |        1200 |       00:15:29 |       90.62% |       82.43% |       0.2149 |       0.5716 |      1.0000e-04 |
|       5 |        1230 |       00:15:47 |       90.62% |       81.78% |       0.2757 |       0.5937 |      1.0000e-04 |
|       5 |        1250 |       00:15:54 |       93.75% |              |       0.2012 |              |      1.0000e-04 |
|       6 |        1260 |       00:16:05 |       84.38% |       82.53% |       0.3260 |       0.5785 |      1.0000e-04 |
|       6 |        1290 |       00:16:22 |       90.62% |       82.23% |       0.1657 |       0.5717 |      1.0000e-04 |
|       6 |        1300 |       00:16:26 |       84.38% |              |       0.3280 |              |      1.0000e-04 |
|       6 |        1320 |       00:16:40 |       90.62% |       82.18% |       0.2468 |       0.5376 |      1.0000e-04 |
|       6 |        1350 |       00:16:58 |       87.50% |       82.13% |       0.2188 |       0.5668 |      1.0000e-04 |
|       6 |        1380 |       00:17:15 |       87.50% |       80.93% |       0.3047 |       0.5394 |      1.0000e-04 |
|       6 |        1400 |       00:17:22 |       90.62% |              |       0.2156 |              |      1.0000e-04 |
|       6 |        1410 |       00:17:32 |       81.25% |       82.28% |       0.4069 |       0.5569 |      1.0000e-04 |
|       6 |        1440 |       00:17:49 |       75.00% |       80.28% |       0.4793 |       0.6031 |      1.0000e-04 |
|       6 |        1450 |       00:17:52 |       96.88% |              |       0.1340 |              |      1.0000e-04 |
|       6 |        1470 |       00:18:06 |       81.25% |       80.43% |       0.4388 |       0.6229 |      1.0000e-04 |
|       6 |        1500 |       00:18:23 |       84.38% |       81.48% |       0.3916 |       0.6013 |      1.0000e-04 |
|       7 |        1530 |       00:18:40 |      100.00% |       81.98% |       0.1015 |       0.5534 |      1.0000e-04 |
|       7 |        1550 |       00:18:47 |       90.62% |              |       0.2475 |              |      1.0000e-04 |
|       7 |        1560 |       00:18:57 |       96.88% |       84.02% |       0.0869 |       0.5289 |      1.0000e-04 |
|       7 |        1590 |       00:19:14 |       93.75% |       84.27% |       0.1119 |       0.5335 |      1.0000e-04 |
|       7 |        1600 |       00:19:17 |       90.62% |              |       0.2759 |              |      1.0000e-04 |
|       7 |        1620 |       00:19:31 |       93.75% |       80.43% |       0.1794 |       0.6343 |      1.0000e-04 |
|       7 |        1650 |       00:19:48 |       93.75% |       83.52% |       0.2168 |       0.5391 |      1.0000e-04 |
|       7 |        1680 |       00:20:05 |       90.62% |       83.13% |       0.2045 |       0.5742 |      1.0000e-04 |
|       7 |        1700 |       00:20:11 |       93.75% |              |       0.1851 |              |      1.0000e-04 |
|       7 |        1710 |       00:20:22 |       93.75% |       82.43% |       0.1644 |       0.5753 |      1.0000e-04 |
|       7 |        1740 |       00:20:40 |       93.75% |       81.88% |       0.2775 |       0.5799 |      1.0000e-04 |
|       7 |        1750 |       00:20:43 |       81.25% |              |       0.4223 |              |      1.0000e-04 |
|       8 |        1770 |       00:20:57 |       87.50% |       81.68% |       0.2892 |       0.6189 |      1.0000e-04 |
|       8 |        1800 |       00:21:15 |      100.00% |       82.43% |       0.1298 |       0.5513 |      1.0000e-04 |
|       8 |        1830 |       00:21:33 |       96.88% |       81.28% |       0.1527 |       0.6284 |      1.0000e-04 |
|       8 |        1850 |       00:21:40 |       84.38% |              |       0.2945 |              |      1.0000e-04 |
|       8 |        1860 |       00:21:51 |       87.50% |       83.28% |       0.2779 |       0.5628 |      1.0000e-04 |
|       8 |        1890 |       00:22:07 |       93.75% |       84.22% |       0.1340 |       0.5092 |      1.0000e-04 |
|       8 |        1900 |       00:22:11 |       87.50% |              |       0.2985 |              |      1.0000e-04 |
|       8 |        1920 |       00:22:25 |       90.62% |       83.18% |       0.1824 |       0.5464 |      1.0000e-04 |
|       8 |        1950 |       00:22:42 |       81.25% |       82.28% |       0.4237 |       0.5543 |      1.0000e-04 |
|       8 |        1980 |       00:22:59 |       84.38% |       82.53% |       0.4575 |       0.5633 |      1.0000e-04 |
|       8 |        2000 |       00:23:06 |       87.50% |              |       0.2706 |              |      1.0000e-04 |
|       9 |        2010 |       00:23:16 |       90.62% |       81.58% |       0.1332 |       0.5862 |      1.0000e-04 |
|       9 |        2040 |       00:23:33 |       93.75% |       82.33% |       0.1949 |       0.6040 |      1.0000e-04 |
|       9 |        2050 |       00:23:37 |       93.75% |              |       0.2283 |              |      1.0000e-04 |
|       9 |        2070 |       00:23:50 |       90.62% |       81.63% |       0.2326 |       0.5447 |      1.0000e-04 |
|       9 |        2100 |       00:24:07 |       90.62% |       82.83% |       0.2388 |       0.5515 |      1.0000e-04 |
|       9 |        2130 |       00:24:24 |       93.75% |       83.87% |       0.3823 |       0.5412 |      1.0000e-04 |
