========== DATASET ==========
    Label    Count
    _____    _____

    akiec     327 
    bcc       514 
    bkl      1099 
    df        115 
    mel      1113 
    nv       6705 
    vasc      142 


Train: 8513 | Val: 1502

========== BUILDING NETWORK ==========
Feature layer: efficientnet-b0|model|head|MulLayer
✓ Network built!

========================================
TRAINING CONFIGURATION
========================================
Max Epochs: 75 (NO early stopping)
Initial LR: 0.0010
LR Schedule: Drop 50% every 20 epochs
Batch Size: 32
========================================

Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       7 |        1620 |       01:10:49 |       81.25% |       79.36% |       0.5034 |       0.6849 |          0.0010 |
|       7 |        1650 |       01:12:04 |       84.38% |       78.56% |       0.4455 |       0.7036 |          0.0010 |
|       7 |        1680 |       01:13:18 |       93.75% |       79.36% |       0.1858 |       0.6959 |          0.0010 |
|       7 |        1710 |       01:14:34 |       93.75% |       80.09% |       0.3431 |       0.6616 |          0.0010 |
|       7 |        1740 |       01:15:49 |       90.62% |       79.69% |       0.2510 |       0.6989 |          0.0010 |
|       7 |        1770 |       01:17:06 |       84.38% |       80.23% |       0.3828 |       0.6923 |          0.0010 |
|       7 |        1800 |       01:18:20 |       90.62% |       80.16% |       0.1852 |       0.6241 |          0.0010 |
|       7 |        1830 |       01:19:34 |       81.25% |       79.76% |       0.4762 |       0.6206 |          0.0010 |
|       7 |        1860 |       01:20:51 |       96.88% |       78.30% |       0.1470 |       0.7330 |          0.0010 |
|       8 |        1890 |       01:22:07 |       93.75% |       79.96% |       0.1726 |       0.6782 |          0.0010 |
|       8 |        1920 |       01:23:24 |       93.75% |       79.83% |       0.3892 |       0.6805 |          0.0010 |
|       8 |        1950 |       01:24:41 |       96.88% |       79.49% |       0.1666 |       0.6620 |          0.0010 |
|       8 |        1980 |       01:25:58 |       87.50% |       79.49% |       0.3967 |       0.6814 |          0.0010 |
|       8 |        2010 |       01:27:13 |       93.75% |       79.23% |       0.2183 |       0.6832 |          0.0010 |
|       8 |        2040 |       01:28:28 |       84.38% |       80.09% |       0.2838 |       0.6588 |          0.0010 |
|       8 |        2070 |       01:29:46 |       90.62% |       79.83% |       0.3643 |       0.7040 |          0.0010 |
|       8 |        2100 |       01:31:01 |       78.12% |       80.03% |       0.5786 |       0.6600 |          0.0010 |
|       9 |        2130 |       01:32:19 |       93.75% |       79.56% |       0.1519 |       0.6655 |          0.0010 |
|       9 |        2160 |       01:33:36 |       90.62% |       79.29% |       0.3199 |       0.6849 |          0.0010 |
|       9 |        2190 |       01:34:53 |       93.75% |       80.36% |       0.1717 |       0.6333 |          0.0010 |
|       9 |        2220 |       01:36:08 |       93.75% |       79.76% |       0.1358 |       0.7008 |          0.0010 |
|       9 |        2250 |       01:37:23 |       87.50% |       80.36% |       0.2639 |       0.6423 |          0.0010 |
|       9 |        2280 |       01:38:39 |       87.50% |       79.43% |       0.2300 |       0.6815 |          0.0010 |
|       9 |        2310 |       01:39:54 |       87.50% |       79.36% |       0.2256 |       0.6845 |          0.0010 |
|       9 |        2340 |       01:41:11 |       90.62% |       79.89% |       0.3422 |       0.6820 |          0.0010 |
|       9 |        2370 |       01:42:25 |       90.62% |       80.09% |       0.3370 |       0.6745 |          0.0010 |
|      10 |        2400 |       01:43:40 |       93.75% |       80.49% |       0.2689 |       0.6461 |          0.0010 |
|      10 |        2430 |       01:44:57 |       93.75% |       80.29% |       0.1551 |       0.6786 |          0.0010 |
|      10 |        2460 |       01:46:13 |       90.62% |       80.16% |       0.2944 |       0.6916 |          0.0010 |
|      10 |        2490 |       01:47:29 |       93.75% |       80.29% |       0.1870 |       0.7041 |          0.0010 |
|      10 |        2520 |       01:48:44 |       93.75% |       80.16% |       0.1452 |       0.7226 |          0.0010 |
|      10 |        2550 |       01:50:02 |       93.75% |       79.83% |       0.1800 |       0.6860 |          0.0010 |
|      10 |        2580 |       01:51:18 |       90.62% |       80.36% |       0.2641 |       0.6729 |          0.0010 |
|      10 |        2610 |       01:52:35 |       81.25% |       80.23% |       0.3869 |       0.6620 |          0.0010 |
|      10 |        2640 |       01:53:51 |       93.75% |       81.23% |       0.1565 |       0.6421 |          0.0010 |
|      11 |        2670 |       01:55:09 |       96.88% |       79.76% |       0.1493 |       0.6937 |          0.0010 |
|      11 |        2700 |       01:56:24 |      100.00% |       80.16% |       0.0844 |       0.7018 |          0.0010 |
|      11 |        2730 |       01:57:37 |       90.62% |       79.63% |       0.3334 |       0.7609 |          0.0010 |
|      11 |        2760 |       01:58:51 |       78.12% |       79.56% |       0.5855 |       0.7242 |          0.0010 |
|      11 |        2790 |       02:00:06 |       90.62% |       80.23% |       0.1946 |       0.6893 |          0.0010 |
|      11 |        2820 |       02:01:22 |       93.75% |       80.16% |       0.1609 |       0.7260 |          0.0010 |
|      11 |        2850 |       02:02:37 |       96.88% |       80.89% |       0.1910 |       0.7509 |          0.0010 |
|      11 |        2880 |       02:03:51 |       87.50% |       81.09% |       0.3047 |       0.6960 |          0.0010 |
|      11 |        2910 |       02:05:08 |       90.62% |       80.16% |       0.3105 |       0.7406 |          0.0010 |
|      12 |        2940 |       02:06:23 |       93.75% |       80.36% |       0.1417 |       0.7125 |          0.0010 |
|      12 |        2970 |       02:07:39 |       90.62% |       80.49% |       0.2033 |       0.6580 |          0.0010 |
|      12 |        3000 |       02:08:55 |       93.75% |       81.09% |       0.1645 |       0.6877 |          0.0010 |
|      12 |        3030 |       02:10:12 |       84.38% |       80.96% |       0.2559 |       0.7135 |          0.0010 |
|      12 |        3060 |       02:11:29 |      100.00% |       80.09% |       0.0629 |       0.7358 |          0.0010 |
|      12 |        3090 |       02:12:45 |       93.75% |       81.03% |       0.1977 |       0.7343 |          0.0010 |
|      12 |        3120 |       02:14:02 |       96.88% |       79.76% |       0.0996 |       0.7445 |          0.0010 |
|      12 |        3150 |       02:15:17 |       84.38% |       80.76% |       0.3240 |       0.7202 |          0.0010 |
|      12 |        3180 |       02:16:32 |       90.62% |       81.23% |       0.2327 |       0.7239 |          0.0010 |
|      13 |        3210 |       02:17:53 |       93.75% |       80.76% |       0.1439 |       0.7448 |          0.0010 |
|      13 |        3240 |       02:19:15 |       90.62% |       82.29% |       0.2006 |       0.7102 |          0.0010 |
|      13 |        3270 |       02:20:34 |      100.00% |       81.42% |       0.0967 |       0.7297 |          0.0010 |
|      13 |        3300 |       02:21:49 |       87.50% |       79.63% |       0.3048 |       0.8012 |          0.0010 |
|      13 |        3330 |       02:23:07 |       93.75% |       80.69% |       0.1513 |       0.7345 |          0.0010 |
|      13 |        3360 |       02:24:22 |       93.75% |       80.69% |       0.1355 |       0.7857 |          0.0010 |
|      13 |        3390 |       02:25:38 |       87.50% |       81.16% |       0.3181 |       0.6849 |          0.0010 |
|      13 |        3420 |       02:26:54 |       87.50% |       81.42% |       0.3544 |       0.6843 |          0.0010 |
|      13 |        3450 |       02:28:10 |       90.62% |       81.23% |       0.1707 |       0.6598 |          0.0010 |
|      14 |        3480 |       02:29:28 |       93.75% |       80.16% |       0.0885 |       0.7905 |          0.0010 |
|      14 |        3510 |       02:30:43 |       93.75% |       80.56% |       0.3113 |       0.7747 |          0.0010 |
|      14 |        3540 |       02:31:58 |       96.88% |       81.82% |       0.1454 |       0.7328 |          0.0010 |
|      14 |        3570 |       02:33:15 |       93.75% |       80.56% |       0.1528 |       0.7633 |          0.0010 |
|      14 |        3600 |       02:34:29 |       87.50% |       80.29% |       0.2410 |       0.8011 |          0.0010 |
|      14 |        3630 |       02:35:47 |       93.75% |       80.43% |       0.1547 |       0.7120 |          0.0010 |
|      14 |        3660 |       02:37:03 |       96.88% |       79.56% |       0.0773 |       0.8284 |          0.0010 |
|      14 |        3690 |       02:38:21 |      100.00% |       80.96% |       0.0635 |       0.7450 |          0.0010 |
|      14 |        3720 |       02:39:33 |       93.75% |       81.49% |       0.1248 |       0.7284 |          0.0010 |
|      15 |        3750 |       02:40:49 |      100.00% |       81.09% |       0.0380 |       0.7714 |          0.0010 |
|      15 |        3780 |       02:42:05 |       96.88% |       80.63% |       0.0965 |       0.7412 |          0.0010 |
|      15 |        3810 |       02:43:20 |       90.62% |       80.56% |       0.2422 |       0.7177 |          0.0010 |
|      15 |        3840 |       02:44:37 |      100.00% |       80.56% |       0.0924 |       0.7886 |          0.0010 |
|      15 |        3870 |       02:45:52 |       93.75% |       80.89% |       0.1082 |       0.7527 |          0.0010 |
|      15 |        3900 |       02:47:08 |       84.38% |       80.63% |       0.2984 |       0.8063 |          0.0010 |
|      15 |        3930 |       02:48:24 |      100.00% |       81.16% |       0.0869 |       0.7606 |          0.0010 |
|      15 |        3960 |       02:49:39 |       96.88% |       81.62% |       0.0690 |       0.7804 |          0.0010 |
|      15 |        3990 |       02:50:56 |      100.00% |       81.03% |       0.0777 |       0.7467 |          0.0010 |
|      16 |        4020 |       02:52:12 |       93.75% |       81.69% |       0.1200 |       0.7440 |          0.0010 |
|      16 |        4050 |       02:53:28 |       93.75% |       80.29% |       0.1406 |       0.8025 |          0.0010 |
|      16 |        4080 |       02:54:43 |       93.75% |       81.29% |       0.1648 |       0.7378 |          0.0010 |
|      16 |        4110 |       02:56:01 |       93.75% |       81.23% |       0.2745 |       0.7805 |          0.0010 |
|      16 |        4140 |       02:57:19 |       96.88% |       81.49% |       0.1119 |       0.7277 |          0.0010 |
|      16 |        4170 |       02:58:34 |       96.88% |       80.29% |       0.0882 |       0.7425 |          0.0010 |
|      16 |        4200 |       02:59:50 |       96.88% |       80.36% |       0.0876 |       0.8300 |          0.0010 |
|      16 |        4230 |       03:01:07 |       90.62% |       81.89% |       0.1152 |       0.8170 |          0.0010 |
|      17 |        4260 |       03:02:24 |      100.00% |       81.76% |       0.0228 |       0.8032 |          0.0010 |
|      17 |        4290 |       03:03:40 |       96.88% |       81.96% |       0.0410 |       0.7227 |          0.0010 |
|      17 |        4320 |       03:04:55 |       93.75% |       82.56% |       0.0939 |       0.7925 |          0.0010 |
|      17 |        4350 |       03:06:11 |      100.00% |       81.23% |       0.0701 |       0.7552 |          0.0010 |
|      17 |        4380 |       03:07:25 |       96.88% |       81.89% |       0.1724 |       0.7609 |          0.0010 |
|      17 |        4410 |       03:08:41 |       87.50% |       81.16% |       0.2210 |       0.7941 |          0.0010 |
|      17 |        4440 |       03:09:57 |       93.75% |       81.49% |       0.0983 |       0.7509 |          0.0010 |
|      17 |        4470 |       03:11:15 |       93.75% |       82.49% |       0.2168 |       0.7123 |          0.0010 |
|      17 |        4500 |       03:12:29 |       93.75% |       81.69% |       0.0902 |       0.7821 |          0.0010 |
|      18 |        4530 |       03:13:44 |       96.88% |       81.23% |       0.1394 |       0.7912 |          0.0010 |
|      18 |        4560 |       03:15:02 |       93.75% |       80.63% |       0.1645 |       0.8741 |          0.0010 |
|      18 |        4590 |       03:16:19 |       87.50% |       81.29% |       0.2556 |       0.7751 |          0.0010 |
|      18 |        4620 |       03:17:35 |      100.00% |       81.89% |       0.0188 |       0.7098 |          0.0010 |
|      18 |        4650 |       03:18:51 |       90.62% |       81.96% |       0.3804 |       0.7817 |          0.0010 |
|      18 |        4680 |       03:20:10 |       93.75% |       81.89% |       0.1634 |       0.7313 |          0.0010 |
|      18 |        4710 |       03:21:54 |      100.00% |       81.62% |       0.0401 |       0.7810 |          0.0010 |
|      18 |        4740 |       03:23:12 |       96.88% |       82.89% |       0.0710 |       0.7263 |          0.0010 |
|      18 |        4770 |       03:24:32 |       96.88% |       81.42% |       0.0374 |       0.8291 |          0.0010 |
|      19 |        4800 |       03:25:50 |       96.88% |       81.23% |       0.0598 |       0.7878 |          0.0010 |
|      19 |        4830 |       03:27:09 |       96.88% |       81.69% |       0.0621 |       0.7862 |          0.0010 |
|      19 |        4860 |       03:28:26 |       96.88% |       81.96% |       0.0596 |       0.7390 |          0.0010 |
|      19 |        4890 |       03:29:59 |       96.88% |       81.42% |       0.1114 |       0.8550 |          0.0010 |
|      19 |        4920 |       03:31:51 |       90.62% |       82.49% |       0.1570 |       0.7516 |          0.0010 |
|      19 |        4950 |       03:33:25 |       96.88% |       81.96% |       0.0726 |       0.7694 |          0.0010 |
|      19 |        4980 |       03:34:43 |       93.75% |       81.82% |       0.1142 |       0.8117 |          0.0010 |
|      19 |        5010 |       03:35:59 |      100.00% |       82.56% |       0.0419 |       0.6972 |          0.0010 |
|      19 |        5040 |       03:37:16 |       87.50% |       82.22% |       0.2608 |       0.7426 |          0.0010 |
|      20 |        5070 |       03:38:33 |      100.00% |       81.62% |       0.0451 |       0.7439 |          0.0010 |
|      20 |        5100 |       03:39:48 |       84.38% |       82.42% |       0.2761 |       0.6932 |          0.0010 |
|      20 |        5130 |       03:41:11 |       93.75% |       81.89% |       0.1139 |       0.7687 |          0.0010 |
|      20 |        5160 |       03:42:38 |      100.00% |       81.62% |       0.0122 |       0.7703 |          0.0010 |
|      20 |        5190 |       03:44:04 |       96.88% |       82.96% |       0.0826 |       0.7665 |          0.0010 |
|      20 |        5220 |       03:45:24 |      100.00% |       82.69% |       0.0428 |       0.8305 |          0.0010 |
|      20 |        5250 |       03:46:42 |       90.62% |       82.69% |       0.1996 |       0.7848 |          0.0010 |
|      20 |        5280 |       03:48:00 |       93.75% |       82.49% |       0.0805 |       0.7708 |          0.0010 |
|      20 |        5310 |       03:49:18 |       96.88% |       82.62% |       0.1057 |       0.8158 |          0.0010 |
|      21 |        5340 |       03:50:38 |       96.88% |       82.36% |       0.0620 |       0.8410 |          0.0005 |
|      21 |        5370 |       03:51:56 |       93.75% |       82.09% |       0.2901 |       0.8296 |          0.0005 |
|      21 |        5400 |       03:53:16 |       96.88% |       81.82% |       0.0614 |       0.8300 |          0.0005 |
|      21 |        5430 |       03:54:33 |      100.00% |       81.69% |       0.0207 |       0.8230 |          0.0005 |
|      21 |        5460 |       03:55:52 |       93.75% |       81.16% |       0.2184 |       0.8121 |          0.0005 |
|      21 |        5490 |       03:57:11 |       96.88% |       81.76% |       0.0768 |       0.8817 |          0.0005 |
|      21 |        5520 |       03:58:29 |       93.75% |       81.96% |       0.0828 |       0.8624 |          0.0005 |
|      21 |        5550 |       03:59:49 |       93.75% |       82.82% |       0.1070 |       0.7599 |          0.0005 |
|      21 |        5580 |       04:01:08 |      100.00% |       82.62% |       0.0230 |       0.7860 |          0.0005 |
|      22 |        5610 |       04:02:26 |      100.00% |       81.89% |       0.0139 |       0.7876 |          0.0005 |
|      22 |        5640 |       04:03:42 |      100.00% |       82.89% |       0.0150 |       0.8018 |          0.0005 |
|      22 |        5670 |       04:05:01 |       96.88% |       81.56% |       0.1187 |       0.7728 |          0.0005 |
|      22 |        5700 |       04:06:20 |       93.75% |       81.42% |       0.1730 |       0.8493 |          0.0005 |
|      22 |        5730 |       04:07:39 |      100.00% |       81.23% |       0.0439 |       0.8030 |          0.0005 |
|      22 |        5760 |       04:08:59 |      100.00% |       81.16% |       0.0080 |       0.8462 |          0.0005 |
|      22 |        5790 |       04:10:18 |       96.88% |       82.42% |       0.1177 |       0.8382 |          0.0005 |
|      22 |        5820 |       04:11:35 |       93.75% |       82.22% |       0.0906 |       0.8347 |          0.0005 |
|      22 |        5850 |       04:12:54 |      100.00% |       82.22% |       0.0257 |       0.7795 |          0.0005 |
|      23 |        5880 |       04:14:12 |       93.75% |       81.69% |       0.1501 |       0.8287 |          0.0005 |
|      23 |        5910 |       04:15:31 |       96.88% |       82.16% |       0.1736 |       0.8347 |          0.0005 |
|      23 |        5940 |       04:16:49 |       96.88% |       81.82% |       0.1146 |       0.8192 |          0.0005 |
|      23 |        5970 |       04:18:23 |       93.75% |       82.62% |       0.1861 |       0.7711 |          0.0005 |
|      23 |        6000 |       04:19:47 |       96.88% |       81.69% |       0.1089 |       0.7584 |          0.0005 |
|      23 |        6030 |       04:21:13 |      100.00% |       82.22% |       0.0811 |       0.7645 |          0.0005 |
|      23 |        6060 |       04:22:37 |       96.88% |       82.69% |       0.1817 |       0.8353 |          0.0005 |
|      23 |        6090 |       04:23:57 |      100.00% |       83.29% |       0.0211 |       0.7490 |          0.0005 |
|      24 |        6120 |       04:25:37 |      100.00% |       82.42% |       0.0413 |       0.7490 |          0.0005 |
|      24 |        6150 |       04:27:47 |       93.75% |       83.36% |       0.0973 |       0.7745 |          0.0005 |
|      24 |        6180 |       04:29:32 |      100.00% |       82.09% |       0.0388 |       0.7539 |          0.0005 |
|      24 |        6210 |       04:30:55 |      100.00% |       82.02% |       0.0102 |       0.7864 |          0.0005 |
|      24 |        6240 |       04:32:14 |      100.00% |       82.56% |       0.0344 |       0.8140 |          0.0005 |
|      24 |        6270 |       04:33:36 |       96.88% |       82.22% |       0.1141 |       0.7670 |          0.0005 |
|      24 |        6300 |       04:34:57 |       96.88% |       81.89% |       0.0504 |       0.8709 |          0.0005 |
|      24 |        6330 |       04:36:19 |      100.00% |       82.89% |       0.0084 |       0.7862 |          0.0005 |
|      24 |        6360 |       04:37:40 |      100.00% |       82.09% |       0.0135 |       0.8327 |          0.0005 |
|      25 |        6390 |       04:38:59 |      100.00% |       82.96% |       0.0178 |       0.7813 |          0.0005 |
|      25 |        6420 |       04:40:21 |       93.75% |       82.16% |       0.1126 |       0.8223 |          0.0005 |
|      25 |        6450 |       04:41:41 |       93.75% |       82.96% |       0.1756 |       0.8146 |          0.0005 |
|      25 |        6480 |       04:43:03 |       96.88% |       82.89% |       0.0571 |       0.8635 |          0.0005 |
|      25 |        6510 |       04:44:23 |      100.00% |       82.76% |       0.0035 |       0.7964 |          0.0005 |
|      25 |        6540 |       04:45:44 |       96.88% |       82.62% |       0.1076 |       0.8485 |          0.0005 |
|      25 |        6570 |       04:47:04 |      100.00% |       81.62% |       0.0323 |       0.8084 |          0.0005 |
|      25 |        6600 |       04:48:24 |       96.88% |       82.69% |       0.1078 |       0.7887 |          0.0005 |
|      25 |        6630 |       04:49:46 |       96.88% |       82.69% |       0.0402 |       0.8209 |          0.0005 |
|      26 |        6660 |       04:51:07 |      100.00% |       82.29% |       0.0462 |       0.8604 |          0.0005 |
|      26 |        6690 |       04:52:31 |      100.00% |       82.36% |       0.0022 |       0.8069 |          0.0005 |
|      26 |        6720 |       04:53:50 |       90.62% |       82.82% |       0.1247 |       0.7543 |          0.0005 |
|      26 |        6750 |       04:55:12 |      100.00% |       82.82% |       0.0096 |       0.8133 |          0.0005 |
|      26 |        6780 |       04:56:32 |      100.00% |       82.16% |       0.0209 |       0.7712 |          0.0005 |
|      26 |        6810 |       04:57:53 |      100.00% |       83.02% |       0.0156 |       0.8145 |          0.0005 |
|      26 |        6840 |       04:59:16 |      100.00% |       82.29% |       0.0092 |       0.8217 |          0.0005 |
|      26 |        6870 |       05:00:38 |      100.00% |       83.36% |       0.0296 |       0.7928 |          0.0005 |
|      26 |        6900 |       05:01:59 |       93.75% |       82.82% |       0.3699 |       0.8044 |          0.0005 |
|      27 |        6930 |       05:03:18 |      100.00% |       83.36% |       0.0190 |       0.8090 |          0.0005 |
|      27 |        6960 |       05:04:38 |      100.00% |       83.49% |       0.0253 |       0.8484 |          0.0005 |
|      27 |        6990 |       05:06:00 |       96.88% |       82.36% |       0.0572 |       0.8058 |          0.0005 |
|      27 |        7020 |       05:07:19 |      100.00% |       82.02% |       0.0338 |       0.8848 |          0.0005 |
|      27 |        7050 |       05:08:41 |       96.88% |       82.02% |       0.0832 |       0.8367 |          0.0005 |
|      27 |        7080 |       05:10:09 |      100.00% |       81.36% |       0.0150 |       0.8227 |          0.0005 |
|      27 |        7110 |       05:11:46 |      100.00% |       82.29% |       0.0286 |       0.8247 |          0.0005 |
|      27 |        7140 |       05:13:06 |      100.00% |       81.96% |       0.0195 |       0.7775 |          0.0005 |
|      27 |        7170 |       05:14:25 |      100.00% |       82.69% |       0.0481 |       0.7839 |          0.0005 |
|      28 |        7200 |       05:15:47 |      100.00% |       82.09% |       0.0220 |       0.7796 |          0.0005 |
|      28 |        7230 |       05:17:07 |      100.00% |       82.76% |       0.0579 |       0.8018 |          0.0005 |
|      28 |        7260 |       05:18:28 |       93.75% |       83.09% |       0.1161 |       0.8309 |          0.0005 |
|      28 |        7290 |       05:19:47 |      100.00% |       83.09% |       0.0164 |       0.7812 |          0.0005 |
|      28 |        7320 |       05:21:09 |       93.75% |       81.56% |       0.0818 |       0.8486 |          0.0005 |
|      28 |        7350 |       05:22:29 |       93.75% |       82.96% |       0.0541 |       0.7947 |          0.0005 |
|      28 |        7380 |       05:23:48 |      100.00% |       81.69% |       0.0086 |       0.8678 |          0.0005 |
|      28 |        7410 |       05:25:08 |      100.00% |       82.56% |       0.0037 |       0.8067 |          0.0005 |
|      28 |        7440 |       05:26:29 |       96.88% |       82.49% |       0.0697 |       0.8326 |          0.0005 |
|      29 |        7470 |       05:27:52 |      100.00% |       82.56% |       0.0255 |       0.8142 |          0.0005 |
|      29 |        7500 |       05:29:11 |       93.75% |       82.82% |       0.1382 |       0.8112 |          0.0005 |
|      29 |        7530 |       05:30:32 |       96.88% |       82.56% |       0.0500 |       0.8341 |          0.0005 |
|      29 |        7560 |       05:31:56 |      100.00% |       82.82% |       0.0341 |       0.8181 |          0.0005 |
|      29 |        7590 |       05:33:15 |      100.00% |       83.09% |       0.0372 |       0.8241 |          0.0005 |
