Dataset Summary:
    Label    Count
    _____    _____

    akiec     327 
    bcc       514 
    bkl      1099 
    df        115 
    mel      1113 
    nv       6705 
    vasc      142 

Training data:
    Label    Count
    _____    _____

    akiec     262 
    bcc       411 
    bkl       879 
    df         92 
    mel       890 
    nv       5364 
    vasc      114 

Validation data:
    Label    Count
    _____    _____

    akiec      65 
    bcc       103 
    bkl       220 
    df         23 
    mel       223 
    nv       1341 
    vasc       28 

Training CNN with Attention Mechanism...
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       5 |        1230 |       00:38:52 |       90.62% |       78.98% |       0.3435 |       0.6648 |          0.0010 |
|       5 |        1250 |       00:39:01 |       81.25% |              |       0.3588 |              |          0.0010 |
|       6 |        1260 |       00:39:18 |       87.50% |       79.83% |       0.3174 |       0.6259 |          0.0010 |
|       6 |        1290 |       00:39:43 |       81.25% |       79.48% |       0.3316 |       0.6419 |          0.0010 |
|       6 |        1300 |       00:39:48 |       78.12% |              |       0.5928 |              |          0.0010 |
|       6 |        1320 |       00:40:08 |       96.88% |       78.78% |       0.1987 |       0.7058 |          0.0010 |
|       6 |        1350 |       00:40:34 |       84.38% |       80.58% |       0.4468 |       0.6228 |          0.0010 |
|       6 |        1380 |       00:41:00 |       90.62% |       79.28% |       0.2874 |       0.6604 |          0.0010 |
|       6 |        1400 |       00:41:10 |       90.62% |              |       0.2851 |              |          0.0010 |
|       6 |        1410 |       00:41:27 |       84.38% |       79.83% |       0.4405 |       0.6805 |          0.0010 |
|       6 |        1440 |       00:41:53 |       84.38% |       80.38% |       0.5153 |       0.6129 |          0.0010 |
|       6 |        1450 |       00:41:58 |       90.62% |              |       0.2764 |              |          0.0010 |
|       6 |        1470 |       00:42:19 |       90.62% |       80.38% |       0.2401 |       0.5900 |          0.0010 |
|       6 |        1500 |       00:42:44 |       78.12% |       79.58% |       0.5381 |       0.7040 |          0.0010 |
|       7 |        1530 |       00:43:10 |      100.00% |       81.28% |       0.0925 |       0.6427 |          0.0010 |
|       7 |        1550 |       00:43:20 |       84.38% |              |       0.3524 |              |          0.0010 |
|       7 |        1560 |       00:43:36 |       96.88% |       81.18% |       0.1578 |       0.5905 |          0.0010 |
|       7 |        1590 |       00:44:02 |       75.00% |       81.43% |       0.6339 |       0.5857 |          0.0010 |
|       7 |        1600 |       00:44:07 |       75.00% |              |       0.5017 |              |          0.0010 |
|       7 |        1620 |       00:44:27 |       81.25% |       79.98% |       0.4363 |       0.6079 |          0.0010 |
